accuracy,precision,recall,specificity,f1,balanced_accuracy,tn,fp,fn,tp,roc_auc,pr_auc,experiment_name,display_name,model_key,privacy_mode,privacy_score,split,threshold,n_samples
0.925,0.9069767441860465,0.9512195121951219,0.8974358974358975,0.9285714285714286,0.9243277048155096,35,4,2,39,0.9806128830519074,0.9787375617194689,yolov8n_rgb,YOLOv8n RGB,yolov8n,full_rgb,1,train,0.5099999999999999,80
0.9302325581395349,0.9090909090909091,0.9523809523809523,0.9090909090909091,0.9302325581395349,0.9307359307359306,20,2,1,20,0.9805194805194805,0.9812077716213057,yolov8n_rgb,YOLOv8n RGB,yolov8n,full_rgb,1,val,0.5099999999999999,43
0.6756756756756757,0.6470588235294118,0.6470588235294118,0.7,0.6470588235294118,0.6735294117647059,14,6,6,11,0.8058823529411765,0.7750695729564058,yolov8n_rgb,YOLOv8n RGB,yolov8n,full_rgb,1,test,0.5099999999999999,37
0.95,0.9743589743589743,0.926829268292683,0.9743589743589743,0.95,0.9505941213258287,38,1,3,38,0.9937460913070669,0.9944257105700434,yolov8n_blur,YOLOv8n Blurred,yolov8n,blurred_rgb,3,train,0.59,80
0.7674418604651163,0.8235294117647058,0.6666666666666666,0.8636363636363636,0.7368421052631579,0.7651515151515151,19,3,7,14,0.7554112554112554,0.6892168641851666,yolov8n_blur,YOLOv8n Blurred,yolov8n,blurred_rgb,3,val,0.59,43
0.7297297297297297,0.6842105263157895,0.7647058823529411,0.7,0.7222222222222222,0.7323529411764705,14,6,4,13,0.7823529411764707,0.7019144995798492,yolov8n_blur,YOLOv8n Blurred,yolov8n,blurred_rgb,3,test,0.59,37
0.975,0.9534883720930233,1.0,0.9487179487179487,0.9761904761904762,0.9743589743589743,37,2,0,41,1.0,1.0,yolov8n_pose_rgb,YOLOv8n-Pose Skeleton Output,yolov8n_pose,full_rgb,4,train,0.14999999999999997,80
0.813953488372093,0.8421052631578947,0.7619047619047619,0.8636363636363636,0.8,0.8127705627705628,19,3,5,16,0.8051948051948052,0.7710843773758593,yolov8n_pose_rgb,YOLOv8n-Pose Skeleton Output,yolov8n_pose,full_rgb,4,val,0.14999999999999997,43
0.8378378378378378,0.7619047619047619,0.9411764705882353,0.75,0.8421052631578947,0.8455882352941176,15,5,1,16,0.9382352941176471,0.9326052903570661,yolov8n_pose_rgb,YOLOv8n-Pose Skeleton Output,yolov8n_pose,full_rgb,4,test,0.14999999999999997,37
